OSEBuildingID,BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFABuilding,ENERGYSTARScore,SiteEnergyUse,SteamUse,Electricity,NaturalGas,OtherFuelUse,GHGEmissions,BuildingAge,IsSteamUser,IsElectricityUser,IsNaturalGasUser,IsOtherFuelUser,NumberOfUsedEnergies,MostUsedEnergy,GatheredPrimaryPropertyType,LogSiteEnergyUse,LogGHGEmissions
19743,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1917,1.0,2.0,21600.0,,1636649.125,0.0,1241985.0,394664.0,0.0,29.62,99,0.0,1.0,1.0,0.0,2.0,Electricity,Office,14.308162104126875,3.4216533902295376
19747,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1974,1.0,5.0,48505.0,59.0,4322873.0,0.0,1915699.0,2407174.0,0.0,141.2,42,0.0,1.0,1.0,0.0,2.0,NaturalGas,Office,15.279431016798911,4.95723451736914
19750,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1942,1.0,3.0,64630.0,96.0,1408291.375,0.0,1408291.0,0.0,0.0,9.82,74,0.0,1.0,0.0,0.0,1.0,Electricity,Office,14.15788844684215,2.3813962734183356
19752,NonResidential,Worship Facility,DOWNTOWN,1948,1.0,2.0,20920.0,15.0,1042108.5,0.0,285047.0,757062.0,0.0,42.19,68,0.0,1.0,1.0,0.0,2.0,NaturalGas,Worship Facility,13.856757582146624,3.7656089869726097
19766,NonResidential,Worship Facility,SOUTHWEST,1926,1.0,2.0,22128.0,94.0,608359.6875,0.0,153306.0,455054.0,0.0,25.24,90,0.0,1.0,1.0,0.0,2.0,NaturalGas,Worship Facility,13.318523221073114,3.267284964075888
19774,NonResidential,Retail Store,NORTHWEST,1968,1.0,1.0,48139.0,98.0,859236.625,0.0,468402.0,390834.0,0.0,24.02,48,0.0,1.0,1.0,0.0,2.0,Electricity,Store,13.66380079251352,3.219675505038765
19787,NonResidential,Worship Facility,SOUTHWEST,1949,1.0,2.0,21364.0,86.0,965651.125,0.0,162220.0,803431.0,0.0,43.8,67,0.0,1.0,1.0,0.0,2.0,NaturalGas,Worship Facility,13.7805589292886,3.8022081394209395
19833,NonResidential,University,DOWNTOWN,1992,1.0,2.0,28923.0,,439311.9063,0.0,174768.0,264544.0,0.0,15.27,24,0.0,1.0,1.0,0.0,2.0,NaturalGas,Education,12.99296720877201,2.7893229212309465
19836,NonResidential,University,DOWNTOWN,1928,1.0,3.0,21600.0,,323739.4063,0.0,235546.0,88193.0,0.0,6.33,88,0.0,1.0,1.0,0.0,2.0,Electricity,Education,12.687697258506624,1.9919755158985601
19845,NonResidential,Retail Store,NORTHEAST,1996,1.0,1.0,25735.0,82.0,1169394.875,0.0,953695.0,215700.0,0.0,18.1,20,0.0,1.0,1.0,0.0,2.0,Electricity,Store,13.971997827267511,2.9496883350525844
19847,NonResidential,Retail Store,NORTHEAST,1956,1.0,2.0,25862.0,20.0,4801472.0,0.0,2185523.0,2615949.0,0.0,154.17,60,0.0,1.0,1.0,0.0,2.0,NaturalGas,Store,15.384433303801618,5.044521290095393
